District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
126911,187610,870422,1955476,294230,294231
169906,25108,128108,287805,0,0
57835,488004,2092139,4700165,0,0
167901,187799,663565,1490754,0,0
88902,231922,1006048,2260171,0,0
89901,640105,2770316,6223745,0,0
187903,108110,389189,874345,0,0
246802,10338,55644,125008,143388,143389
101911,4521680,20648312,46388157,0,0
182901,27457,133451,299808,0,0
67904,55480,209052,469654,0,0
156905,54146,227657,511451,0,0
182902,51131,225666,506977,0,0
252901,396059,1680306,3774947,0,0
111901,1095860,4680925,10516088,0,0
57910,5834590,23661010,53156435,0,0
234904,301226,1124700,2526733,0,0
238904,31093,108905,244664,0,0
126904,133361,567832,1275681,0,0
246905,52719,198049,444934,0,0
226907,278817,1309484,2941866,0,0
113902,145143,751580,1688487,0,0
220906,1188846,4067788,9138625,0,0
15835,198148,1132292,2543788,1233376,1233376
116905,1298331,5405593,12144117,0,0
165902,176448,1258051,2826316,0,0
205902,545376,2271420,5102934,0,0
147902,361723,1670318,3752509,0,0
33901,17777,93227,209443,0,0
228901,237717,971789,2183206,0,0
98901,31259,114572,257396,0,0
91917,48147,193478,434665,129621,129621
47903,49483,208053,467409,0,0
95903,129280,627685,1410148,0,0
143901,149402,681515,1531080,0,0
161924,26484,103997,233637,0,0
102904,657599,4093610,9196636,6053676,6053675
97902,142983,702632,1578522,0,0
127903,141876,591970,1329909,0,0
123914,150401,632019,1419884,0,0
219901,38091,153967,345899,0,0
146904,248412,1317834,2960625,0,0
100905,187095,740948,1664601,0,0
15904,3993370,17240598,38732442,0,0
102905,83983,440262,989084,0,0
31903,6992788,29255551,65725039,0,0
230905,130484,668166,1501091,0,0
101858,1114329,5611699,12607150,0,0
101862,698377,3354687,7536584,0,0
71806,976851,4547908,10217256,0,0
15828,1388847,6557773,14732584,0,0
161807,2131984,8704132,19554559,0,0
101846,1277568,5872676,13193457,0,0
227816,884315,3852584,8655151,0,0
86902,58821,235255,528521,0,0
35902,102856,399758,898089,0,0
103902,19408,85465,192005,0,0
225907,126861,556394,1249986,0,0
104901,169170,711600,1598670,0,0
250902,206312,858751,1929255,0,0
127904,119129,480522,1079532,0,0
105906,1838927,7749327,17409510,0,0
198905,381114,1448198,3253497,0,0
65902,35939,158080,355140,0,0
202903,294717,1125906,2529443,0,0
237902,494401,2111906,4744574,0,0
201902,631134,2513515,5646821,0,0
39902,115276,461900,1037698,0,0
15833,28,118,266516,0,0
59901,953585,3938734,8848695,0,0
15815,127072,601726,1351829,0,0
208901,42467,151220,339729,0,0
97903,127239,480395,1079247,0,0
108905,1471209,5884859,13220826,0,0
84903,24204,82953,186360,0,0
220819,75976,513818,1154336,225776,225777
177905,32320,138891,312029,0,0
188903,170438,884015,1986013,0,0
109904,517148,1862330,4183879,0,0
84908,412839,1674087,3760977,0,0
14905,101579,411609,924715,0,0
5902,48727,235102,528176,89766,89767
163904,394472,1433826,3221211,0,0
74907,128169,621437,1396110,0,0
19902,181891,863135,1939104,0,0
108802,377263,1591435,3575292,0,0
101878,12866,66476,149345,0,0
101828,901198,4226723,9495686,0,0
101821,71418,291694,655316,0,0
101912,81977178,358195503,804716108,0,0
91905,184460,750731,1686580,0,0
109905,66196,277039,622392,0,0
19913,24910,128753,289254,0,0
72908,21638,103021,231445,0,0
3902,454383,1932285,4341039,0,0
101925,334055,1453718,3265898,0,0
34903,295518,1259424,2829401,0,0
146905,55927,243903,547948,0,0
101913,3262418,15564399,34966721,953330,953329
133902,48478,187093,420320,0,0
3904,393227,1459181,3278171,0,0
236902,1295947,6256993,14056858,0,0
220916,3361810,13660185,30688746,0,0
246906,288032,1258221,2826699,2841026,2841025
152910,71346,280735,630694,0,0
108807,13052539,69926425,157095552,0,0
120905,97282,441779,992492,0,0
205903,317932,1471413,3305653,0,0
133904,285292,1115150,2505279,0,0
15808,353631,1693260,3804050,0,0
57830,530252,2181574,4901088,0,0
57848,3614359,17494775,39303,0,0
93903,70203,323341,726412,0,0
243903,161507,684302,1537340,0,0
186903,56069,240709,540772,0,0
18906,32504,138125,310310,0,0
118902,23541,104304,234328,0,0
57912,8238962,32480586,72970350,0,0
70907,68688,309146,694523,0,0
109907,184209,763405,1715053,0,0
119902,152331,684124,1536943,0,0
37904,1339987,5482866,12317716,0,0
246907,97700,421286,946454,1157711,1157711
121904,713094,3374648,7581429,0,0
132902,17248,74252,166813,0,0
57819,67313,228857,514146,0,0
155901,464419,1964703,4413868,0,0
124901,414888,1866072,4192287,0,0
221911,70538,352270,791404,52431,52431
210902,136943,756268,1699019,0,0
16901,74547,303850,682625,0,0
50909,39956,204786,460068,0,0
126905,547656,2418029,5432304,0,0
7902,200204,886568,1991748,0,0
15822,1418779,8277042,18595066,0,0
15916,4195940,19411683,43609967,0,0
134901,211456,889077,1997386,0,0
102901,159985,575931,1293877,0,0
128901,195863,931833,2093441,0,0
105801,18533,78064,175378,0,0
101914,5308150,29914338,67205058,0,0
129903,650537,2808220,6308901,0,0
126906,266114,1029732,2313379,0,0
220907,1884815,7909629,17769642,1892310,1892309
242905,14816,59272,133161,0,0
129904,310401,1371801,3081865,0,0
128902,255100,1003445,2254324,0,0
113906,91821,557754,1253041,0,0
220914,278921,1299631,2919729,0,0
175907,171208,1237327,2779760,0,0
248901,225347,1011538,2272505,0,0
133903,1044148,4442939,9981434,0,0
105803,71586,300298,674646,0,0
92902,731503,3007031,6755547,0,0
14906,8539484,38444505,86368791,0,0
137901,1128038,4933088,11082593,0,0
227820,8986418,42059588,94490377,0,0
121905,374508,1783173,4006047,0,0
101915,6907550,32362569,72705215,0,0
58905,39275,173992,390887,0,0
232901,94882,501616,1126922,0,0
138902,66697,248938,559261,0,0
18907,47273,217082,487692,0,0
100903,251165,1115157,2505294,0,0
219905,67775,243983,548128,0,0
61905,116876,472245,1060938,508197,508197
57839,367955,1456230,3271543,0,0
71807,105779,431708,969867,0,0
31905,1398641,5314702,11939921,0,0
125906,36757,179912,404188,0,0
75902,249654,1241641,2789451,0,0
108912,15535347,65603080,147382795,0,0
101916,791195,3678616,8264317,0,0
254902,223920,960325,2157450,0,0
161906,830835,3419897,7683084,0,0
247903,175463,868331,1950777,0,0
108914,306127,1181694,2654774,0,0
15913,65965,284006,638043,0,0
227912,131175,534906,1201710,0,0
61912,257381,1094050,2457874,227813,227813
227913,332839,1347549,3027382,1862378,1862377
220910,679553,2820446,6336368,0,0
79901,3545267,14541884,32669557,0,0
58906,571497,2346781,5272239,0,0
141901,586683,2444325,5491381,0,0
57913,1496464,6373817,14319313,0,0
201903,46414,167082,375363,0,0
107910,89248,459411,1032105,0,0
240901,13731231,54786920,123083392,0,0
245901,184957,702816,1578935,0,0
113905,85542,481377,1081454,0,0
185904,28305,124890,280576,0,0
193902,59317,284430,638997,0,0
246913,762172,7040159,15816305,5472469,5472469
19914,26684,118772,266832,0,0
90902,34037,170049,382029,0,0
57846,408666,1890050,4246155,0,0
101874,44374,203335,456810,0,0
187906,69179,296185,665405,0,0
145911,145054,546664,1228126,0,0
74909,109338,489527,1099763,0,0
110902,607306,3049861,6851767,0,0
201904,43440,190391,427729,0,0
61902,3942498,16708692,37537473,0,0
144902,75939,317106,712404,52380,52380
246908,127509,528019,1186239,1876696,1876696
146906,467041,2257556,5071789,0,0
19908,643661,2672243,6003418,0,0
57807,1171628,5014483,11265455,0,0
15825,82485,387318,870141,0,0
212903,513841,2471397,5552200,0,0
34905,200325,842295,1892285,0,0
49907,21975,129939,291919,0,0
72909,77270,278272,625162,0,0
111902,46542,209955,471681,0,0
181908,453892,2004181,4502559,0,0
61914,478151,1960736,4404958,1556158,1556158
140904,388218,1691957,3801123,0,0
187907,1091301,4315202,9694462,0,0
150901,448367,1825745,4101689,0,0
28902,831245,3411908,7665136,0,0
77902,139506,627508,1409750,0,0
160905,29115,104812,235469,0,0
141902,132982,478724,1075494,0,0
178906,52650,199500,448192,178952,178953
116906,136482,565132,1269616,0,0
92903,2155743,8753791,19666123,0,0
83902,30817,138754,311721,0,0
168902,72174,295801,664542,0,0
161907,104121,452808,1017272,0,0
54902,120056,533950,1199564,0,0
31906,3224151,12636360,28388639,0,0
241906,69793,366574,823540,0,0
43919,84527,0,0,1133162,1107067
113903,87655,402908,905168,0,0
152901,8160440,33489578,75237134,0,0
152906,353468,1535397,3449398,916156,916156
127905,25987,113824,255714,0,0
3903,2032759,8297728,18641540,0,0
28903,328913,1529396,3435916,0,0
100907,271275,1239596,2784857,50507,50507
57805,51366,206974,464985,0,0
245902,676089,2954007,6636424,0,0
7904,304281,1308191,2938961,0,0
129905,713029,3380746,7595129,0,0
154901,549139,2323919,5220879,0,0
170906,1905909,8912894,20023560,0,0
107906,429729,1646581,3699182,0,0
109908,27772,119808,269159,0,0
19910,21330,98253,220733,0,0
57844,130599,535490,1203024,0,0
227907,1258016,5224324,11736881,0,0
220908,3079081,13144342,29529861,0,0
27904,728240,2762467,6206112,0,0
189901,117669,475767,1068850,0,0
94904,133914,545999,1226633,0,0
73903,427848,1703785,3827696,0,0
102902,1614179,6697372,15046205,0,0
161908,154083,683179,1534818,0,0
234905,131703,593166,1332596,0,0
174909,105308,478493,1074976,0,0
157901,118898,551823,1239717,0,0
158904,26192,125792,282603,0,0
205904,773396,3326272,7472748,0,0
19903,92870,330775,743114,0,0
25905,51604,254619,572022,0,0
70915,58187,258057,579746,274136,274135
108906,9070069,40190746,90291867,0,0
231901,96089,446243,1002521,0,0
11905,106000,548395,1232015,0,0
161909,220831,995249,2235910,0,0
43907,1579812,7355216,16524108,0,0
90903,27666,156576,351762,0,0
34906,57460,383211,860916,0,0
223902,113848,508953,1143406,0,0
130801,159715,703681,1580879,0,0
10901,155932,658550,1479487,0,0
163908,544381,2410106,5414505,0,0
43908,30165,127209,285786,1504256,1504257
96904,190554,774502,1739983,0,0
164901,129114,539186,1211326,0,0
108907,2981794,12196717,27400943,0,0
18902,136338,490800,1102623,0,0
246801,15199,70994,159494,491877,491877
221904,198338,920523,2068031,0,0
57914,9022372,36653310,82344721,0,0
147903,530990,2511778,5642918,0,0
101855,95291,428667,963036,0,0
62906,33124,122388,274954,0,0
197902,12411,64371,144616,0,0
165802,71432,245353,551206,0,0
165901,3466795,15438690,34684306,0,0
70908,335115,1514587,3402647,2399314,2399313
39905,17388,84951,190849,0,0
161903,469549,2103236,4725094,0,0
166903,108099,469352,1054437,0,0
175910,83538,346082,777502,0,0
200902,42268,193552,434831,0,0
70909,31391,147157,330601,0,0
112907,38067,175806,394963,0,0
184904,88885,403784,907134,0,0
250903,377391,1616973,3632666,0,0
182903,875973,3460404,7774087,0,0
108908,6934201,30654958,68868923,0,0
238902,310523,1320674,2967006,0,0
169908,22013,120657,271065,0,0
108915,459538,1746204,3922993,0,0
227826,51313,248808,558968,0,0
170903,451100,1996990,4486405,516124,516124
161910,151424,600276,1348571,0,0
209902,27071,176194,395833,0,0
18903,43180,170924,383995,0,0
72910,12265,54929,123402,0,0
40901,158969,618320,1389107,0,0
173901,36981,157485,353804,0,0
143902,51564,259871,583823,0,0
109910,54857,271767,610546,0,0
201907,50833,224871,505190,0,0
225902,1145982,5726799,12865732,0,0
80901,309944,1258602,2827554,0,0
49902,29274,133173,299185,0,0
9901,344919,1435140,3224161,0,0
167902,145734,660541,1483961,0,0
198906,174116,626803,1408166,0,0
138903,148979,604506,1358074,0,0
107908,41015,199864,449011,0,0
174904,2591592,11002062,24717051,0,0
163903,229523,826263,1856268,0,0
94903,109772,467968,1051330,60672,60673
93904,669499,2887477,6486959,0,0
35903,22702,91109,204684,0,0
1906,60869,254966,572803,0,0
123905,481009,2104141,4727129,0,0
79906,229323,1038911,2333999,0,0
19905,294523,1094444,2458760,0,0
46901,1051777,4084478,9176120,0,0
170908,2060420,8649875,19432666,0,0
152902,162329,765767,1720360,0,0
230906,187829,663388,1490356,0,0
15805,257565,1035128,2325502,0,0
153905,30639,120129,269879,0,0
37908,126224,464446,1043418,0,0
236901,168413,852188,1914512,0,0
252902,78473,341715,767691,0,0
220817,376655,1653274,3714218,0,0
176902,352172,1294131,2907373,0,0
89903,265088,1129468,2537445,0,0
169902,170340,707801,1590135,0,0
62902,32400,123253,276898,0,0
145906,97563,371490,834582,0,0
15910,11346109,52141422,117140057,0,0
112906,96154,411312,924047,0,0
139911,411046,1679016,3772049,0,0
61802,78240,336719,756468,0,0
154903,40610,214572,482055,0,0
15915,17631344,77010787,173011162,0,0
244905,24613,99974,224599,0,0
61911,779579,3297546,7408213,6056755,6056755
57809,57833,219762,493713,0,0
57827,241278,918267,2062964,0,0
69902,106536,471323,1058866,0,0
235904,24402,103442,232391,0,0
227804,86769,373090,838178,0,0
145907,66913,276628,621468,0,0
205905,280180,1326552,2980210,0,0
153903,103572,386950,869316,0,0
84802,243602,981660,2205380,0,0
50904,70611,291431,654723,0,0
200906,33355,139555,313523,0,0
252903,129413,545809,1226205,0,0
140905,166691,696568,1564897,0,0
187910,373482,1478009,3320471,0,0
125903,397529,2017971,4533539,0,0
181905,252653,881893,1981247,0,0
230903,172816,983477,2209464,0,0
14804,204528,803455,1805028,0,0
201908,98746,437679,983282,0,0
51901,84838,376014,844746,0,0
104907,36134,144664,325001,0,0
48903,61583,322702,724978,0,0
158905,293224,1333826,2996552,0,0
1907,886079,3553538,7983320,0,0
70910,121434,540840,1215042,0,0
182906,38564,138830,311894,0,0
90904,618644,2652967,5960112,0,0
33902,56612,234103,525931,0,0
42905,86650,383047,860548,0,0
249906,140829,594776,1336215,0,0
139909,1274891,4748881,10668759,0,0
101917,14804180,65564411,147295921,0,0
63906,25763,128001,287565,0,0
13902,18579,75799,170288,66933,66933
20908,1182724,5709795,12827530,0,0
82903,673344,2987939,6712654,0,0
184908,90178,345918,777134,231870,231869
195901,643664,2578765,5793411,0,0
57802,268287,978619,2198549,0,0
109914,27091,100435,225635,0,0
119903,35203,163403,367098,0,0
179901,265309,1152407,2588978,0,0
95904,77297,278262,625139,0,0
39903,70013,299600,673077,0,0
13903,183605,717525,1611979,0,0
172905,217588,858527,1928753,0,0
227904,3038491,13227475,29716626,0,0
108909,12524964,53681530,120600040,0,0
61903,133728,622700,1398948,0,0
92904,992349,4096119,9202274,0,0
3801,180162,745789,1675478,0,0
57850,63659,569429,1279269,0,0
32902,719894,3113758,6995317,0,0
251902,71933,344792,774604,0,0
95905,1396322,5753155,12924944,0,0
43910,4155930,19250168,43247110,0,0
19912,163158,699094,1570572,0,0
7905,949297,3554587,7985678,0,0
117904,79207,377213,847441,0,0
31909,1128508,4821890,10832779,0,0
61906,82099,691445,1553390,0,0
184901,80801,334992,752587,0,0
15801,77115,322311,724099,0,0
178908,70506,243442,546912,0,0
123907,3040408,12309999,27655441,0,0
123908,582928,2338023,5252564,0,0
15814,64385,266320,598310,0,0
85902,183582,738445,1658978,0,0
7906,433703,1610010,3617022,0,0
247904,36313,188343,423128,28238,28237
91913,147465,624281,1402498,0,0
28906,33252,171846,386067,0,0
169909,29848,131266,294899,0,0
139912,148477,572840,1286933,0,0
72801,1061253,4224317,9490281,0,0
125905,310553,1342063,3015056,0,0
189902,456762,1982709,4454322,0,0
167904,24951,105768,237616,0,0
43911,471462,1697671,3813959,588822,588823
98903,13303,49803,111887,0,0
14803,143790,540619,1214547,0,0
108910,899837,3681660,8271156,0,0
15839,58814,272041,611162,0,0
227824,255610,1095493,2461117,0,0
101853,446025,1892810,4252355,0,0
43912,57486,220533,495447,7104748,7104747
99903,124051,498371,1119633,0,0
34907,189737,1100358,2472047,0,0
116908,587040,2377291,5340783,0,0
250904,200621,889040,1997303,0,0
190903,350079,1478985,3322663,0,0
54903,169873,618427,1389347,0,0
66005,19230,70894,159269,0,0
234801,15252,60977,136989,0,0
15906,26655,89505,201081,304204,304204
67907,125430,505886,1136515,0,0
231902,20307,86134,193507,36760,36759
161802,209703,918357,2063167,0,0
101806,751462,3143894,7063019,0,0
236801,43044,163563,367458,0,0
245903,1023348,4436200,9966293,0,0
192901,103593,439009,986269,0,0
19911,47663,197632,443996,0,0
70911,395881,1849723,4155557,435838,435838
19906,126673,518376,1164575,0,0
196903,130563,567220,1274307,0,0
101876,25442,107839,242270,0,0
137902,185022,729363,1638575,0,0
45903,335742,1336319,3002152,0,0
175911,178953,746291,1676604,0,0
14801,401466,1671444,3755039,0,0
93905,43227,202260,454393,0,0
57916,8096794,30980223,69599659,0,0
206902,38342,138028,310092,0,0
161912,71875,305448,686213,0,0
214901,4535937,18649150,41896873,0,0
31911,799623,2878569,6466946,0,0
126907,224452,907234,2038177,0,0
152802,80105,320273,719520,0,0
67908,68021,244872,550125,0,0
188902,222051,996709,2239190,0,0
194903,124090,597533,1342408,0,0
137903,84494,376806,846526,0,0
41902,40802,177597,398986,0,0
161922,222697,978552,2198399,0,0
178909,1459671,5568488,12510074,0,0
76903,48803,208361,468100,0,0
160904,44904,210202,472236,0,0
166904,377097,1526055,3428410,0,0
69901,143899,546804,1228442,0,0
199901,751975,3295625,7403897,1563820,1563821
14907,84135,340472,764898,0,0
214903,3515575,14996667,33691265,0,0
152908,337196,1451329,3260531,0,0
110905,54634,277731,623946,0,0
177901,100354,415375,933175,377141,377141
73905,182973,753408,1692593,0,0
76904,56358,223594,502323,0,0
246909,2903595,12964740,29126371,73278,73279
75908,16883,88937,199805,0,0
237905,606929,2474932,5560142,0,0
199902,281380,1261429,2833905,2025528,2025528
104903,51888,255962,575040,0,0
128903,87925,316527,711105,0,0
37907,373068,1541395,3462873,0,0
91914,114176,491264,1103666,0,0
232902,120108,568182,1276469,0,0
92906,187405,644315,1447508,0,0
123913,99352,441875,992710,0,0
169911,40755,174078,391082,0,0
14908,100806,489256,1099154,248772,248772
112909,56650,213874,480486,0,0
74917,81778,333378,748962,0,0
226903,2934804,14471582,32511617,0,0
15907,21453393,92589570,208010199,0,0
15840,56051,254385,571497,0,0
203901,284840,1089943,2448648,0,0
31912,4781052,20132980,45230421,0,0
66902,531914,2442715,5487763,0,0
71904,1716283,6962081,15640897,0,0
233901,2705729,11565560,25982996,0,0
214902,101190,421540,947025,0,0
105902,1694932,7334343,16477213,0,0
245904,122637,466007,1046923,0,0
206901,187749,802706,1803346,0,0
58909,38597,180751,406073,0,0
117903,63393,327163,734999,0,0
61908,236126,858343,1928340,84971,84971
42903,107647,539754,1212603,0,0
84909,411181,1524120,3424063,318366,318365
137904,128736,627071,1408766,0,0
31913,308853,1174433,2638462,0,0
31914,562168,2136188,4799125,0,0
182904,74625,435627,978673,0,0
74911,27032,140334,315272,0,0
94902,806633,3369185,7569156,2053141,2053141
207901,116981,484658,1088825,0,0
15806,411747,1564601,3515006,0,0
15827,307193,1806907,4059366,0,0
15831,463968,2615804,5876623,0,0
75903,131294,626509,1407505,0,0
129910,176881,816352,1834004,0,0
83901,249338,1008501,2265681,0,0
8902,418550,1683216,3781485,0,0
94901,1457375,5923906,13308549,0,0
83903,593512,3021162,6787293,0,0
101802,482838,2139326,4806174,0,0
12901,134020,608676,1367442,0,0
152909,164926,606411,1362353,0,0
242902,77075,344822,774672,0,0
108911,2037459,9292038,20875340,0,0
210903,170274,817542,1836676,0,0
101924,1546647,6780224,15232340,0,0
204904,569225,2104402,4727714,0,0
91906,1441000,5943470,13352501,0,0
143903,59123,269675,605847,0,0
47905,25571,113957,256014,0,0
115902,30330,109236,245408,0,0
100904,531693,2449434,5502859,0,0
23902,31972,136675,307052,0,0
19909,180025,676486,1519782,0,0
205906,418023,2299902,5166921,0,0
49909,9614,61915,139098,0,0
13905,134580,635698,1428149,0,0
152903,354221,1753776,3940003,0,0
249908,29218,127617,286702,15988,15987
1909,62388,286208,642990,0,0
11904,260635,1083070,2433207,0,0
110906,88050,316972,712104,0,0
26903,76908,329900,741147,0,0
208902,487679,2207667,4959707,0,0
71909,10153294,44186634,99268963,0,0
15909,1000230,4467853,10037404,0,0
26902,154151,648405,1456696,0,0
218901,125674,560063,1258228,0,0
15908,2762719,12788784,28731070,0,0
31916,1008645,4687337,10530494,0,0
85903,37671,152847,343384,0,0
15917,1402783,6490608,14581693,0,0
15912,3377263,14664502,32945029,0,0
15807,277430,1290585,2899408,0,0
101838,697507,3277615,7363436,0,0
98904,121912,542938,1219756,0,0
170907,556359,2106690,4732856,0,0
101920,8616398,38295507,86034054,0,0
92907,270615,1083822,2434896,0,0
